venta_id,producto_id,cantidad,precio_unitario,descuento_porcentaje,subtotal
1,41,1,2500,15,2125.0
2,17,1,280,0,280.0
2,39,4,1200,10,4320.0
3,14,1,450,0,450.0
3,39,2,1200,0,2400.0
4,34,1,9500,10,8550.0
5,12,3,600,15,1530.0
5,26,6,280,0,1680.0
5,40,1,500,10,450.0
6,14,1,450,0,450.0
6,37,3,950,0,2850.0
7,17,2,280,0,560.0
7,44,1,650,15,552.5
7,43,6,1500,0,9000.0
7,34,1,9500,15,8075.0
8,42,3,800,0,2400.0
8,32,1,7500,10,6750.0
8,6,1,1100,0,1100.0
8,41,2,2500,0,5000.0
8,28,2,8500,0,17000.0
9,34,1,9500,15,8075.0
10,44,4,650,5,2470.0
10,15,1,800,10,720.0
10,36,3,800,0,2400.0
11,36,1,800,0,800.0
12,44,1,650,0,650.0
13,23,1,320,0,320.0
14,33,1,10000,15,8500.0
15,31,1,8000,0,8000.0
15,41,4,2500,0,10000.0
15,23,3,320,5,912.0
16,6,2,1100,10,1980.0
17,44,3,650,0,1950.0
17,32,1,7500,15,6375.0
18,8,2,1050,0,2100.0
19,35,2,11000,0,22000.0
20,18,4,400,0,1600.0
21,2,1,950,0,950.0
22,37,1,950,0,950.0
23,33,1,10000,0,10000.0
24,1,2,800,0,1600.0
24,39,2,1200,5,2280.0
25,38,1,600,0,600.0
25,31,3,8000,0,24000.0
25,40,2,500,15,850.0
26,28,1,8500,15,7225.0
26,32,2,7500,0,15000.0
26,35,1,11000,0,11000.0
26,40,3,500,15,1275.0
26,44,6,650,0,3900.0
27,16,1,350,0,350.0
28,38,1,600,0,600.0
28,36,2,800,10,1440.0
29,23,1,320,0,320.0
29,28,2,8500,0,17000.0
30,31,2,8000,0,16000.0
31,45,3,900,0,2700.0
31,25,1,330,0,330.0
32,35,6,11000,0,66000.0
33,6,1,1100,0,1100.0
34,20,2,380,0,760.0
34,31,3,8000,0,24000.0
34,4,1,1000,15,850.0
35,35,2,11000,0,22000.0
35,12,1,600,0,600.0
36,40,1,500,0,500.0
36,18,2,400,0,800.0
37,7,1,900,0,900.0
37,13,1,500,0,500.0
38,34,2,9500,0,19000.0
39,6,1,1100,0,1100.0
39,13,3,500,0,1500.0
39,33,1,10000,0,10000.0
39,19,12,350,0,4200.0
40,34,1,9500,0,9500.0
40,27,3,3500,0,10500.0
40,23,1,320,0,320.0
40,8,1,1050,0,1050.0
41,1,1,800,0,800.0
41,37,1,950,5,902.5
41,2,3,950,0,2850.0
42,25,1,330,10,297.0
42,24,1,400,10,360.0
42,41,1,2500,0,2500.0
42,14,1,450,0,450.0
43,20,2,380,0,760.0
43,26,2,280,5,532.0
44,1,1,800,0,800.0
